Country Code,Country Name,Indicator Name,Number of Records,Year,Number of Homicides per 10000
AFG,Afghanistan,"Intentional homicides (per 100,000 people)",1,1960,
ALB,Albania,"Intentional homicides (per 100,000 people)",1,1960,
DZA,Algeria,"Intentional homicides (per 100,000 people)",1,1960,
ASM,American Samoa,"Intentional homicides (per 100,000 people)",1,1960,
AND,Andorra,"Intentional homicides (per 100,000 people)",1,1960,
AGO,Angola,"Intentional homicides (per 100,000 people)",1,1960,
ATG,Antigua and Barbuda,"Intentional homicides (per 100,000 people)",1,1960,
ARG,Argentina,"Intentional homicides (per 100,000 people)",1,1960,
ARM,Armenia,"Intentional homicides (per 100,000 people)",1,1960,
ABW,Aruba,"Intentional homicides (per 100,000 people)",1,1960,
AUS,Australia,"Intentional homicides (per 100,000 people)",1,1960,
AUT,Austria,"Intentional homicides (per 100,000 people)",1,1960,
AZE,Azerbaijan,"Intentional homicides (per 100,000 people)",1,1960,
BHS,"Bahamas, The","Intentional homicides (per 100,000 people)",1,1960,
BHR,Bahrain,"Intentional homicides (per 100,000 people)",1,1960,
BGD,Bangladesh,"Intentional homicides (per 100,000 people)",1,1960,
BRB,Barbados,"Intentional homicides (per 100,000 people)",1,1960,
BLR,Belarus,"Intentional homicides (per 100,000 people)",1,1960,
BEL,Belgium,"Intentional homicides (per 100,000 people)",1,1960,
BLZ,Belize,"Intentional homicides (per 100,000 people)",1,1960,
BEN,Benin,"Intentional homicides (per 100,000 people)",1,1960,
BMU,Bermuda,"Intentional homicides (per 100,000 people)",1,1960,
BTN,Bhutan,"Intentional homicides (per 100,000 people)",1,1960,
BOL,Bolivia,"Intentional homicides (per 100,000 people)",1,1960,
BIH,Bosnia and Herzegovina,"Intentional homicides (per 100,000 people)",1,1960,
BWA,Botswana,"Intentional homicides (per 100,000 people)",1,1960,
BRA,Brazil,"Intentional homicides (per 100,000 people)",1,1960,
VGB,British Virgin Islands,"Intentional homicides (per 100,000 people)",1,1960,
BRN,Brunei Darussalam,"Intentional homicides (per 100,000 people)",1,1960,
BGR,Bulgaria,"Intentional homicides (per 100,000 people)",1,1960,
BFA,Burkina Faso,"Intentional homicides (per 100,000 people)",1,1960,
BDI,Burundi,"Intentional homicides (per 100,000 people)",1,1960,
